hashid,Székhely,Létszám,TEÁOR 08 szerinti teáorszám(ok),Nettó árbevétel (eFt),Üzleti/üzemi eredmény (eFt),Adózott eredmény (eFt),Forgóeszközök (eFt),Követelések (eFt),Pénzeszközök (eFt),Eszközök összesen (eFt),Saját tőke (eFt),Hosszú lejáratú kötelezettségek (eFt),Rövid lejáratú kötelezettségek (eFt),Cégcsoport tag
483c77d701,"6728 Szeged, Algyői út 72.",0.0,4631,2480583.0,1264,564,279757.0,272927.0,4992,293702.0,49967,0,218679.0,0
96aaff708c,"6000 Kecskemét, Izsáki út 8/B",0.0,6820,2113376.0,649400,394334,1416457.0,376108.0,1040349,8167192.0,2787929,3713243,1612595.0,0
7e2431b47b,"1138 Budapest, Madarász Viktor u. 47-49.",51.0,7022,1097797.0,475831,447418,458605.0,193910.0,264695,554282.0,451406,0,81592.0,0
38fecdd131,"2370 Dabas, Tatárszentgyörgyi út 0328/68",39.0,1011,1131213.0,29842,25003,491911.0,237302.0,63173,824493.0,371240,200896,147833.0,0
07f277dce6,"3527 Miskolc, Besenyői út 10.",275.0,2573,5153623.84,-59787.42,-96022.22,2739609.69999999,1554472.92,326889.66,5909119.42,3984275.08,313948.66,1567155.09999999,0
ee480394ae,"1113 Budapest, Bocskai út 52-54. fszt. 1.",8.0,4730,1360876.0,38934,35191,150846.0,97308.0,34092,230980.0,148740,26982,53009.0,0
c6d9324add,"2045 Törökbálint, Arany János u. 32",21.0,4211,1892968.0,214109,204621,2900567.0,2239259.0,447728,3084306.0,432279,25928,2569995.0,0
ffaf750908,"4251 Hajdúsámson, Külterület hr 0444/4.",154.0,147,4305647.0,1048632,1004493,2215973.0,867828.0,861507,4736551.0,3283276,1098098,333241.0,0
0ec005f5d2,"7630 Pécs, Edison u. 2.",45.0,2893|4614,1009792.0,175663,170119,630678.0,131950.0,107795,1324983.0,472808,0,590879.0,0
8002d60776,"8200 Veszprém, Házgyári út 16.",138.0,4941,4142850.11999999,-4341.96,-40008.06,739373.76,677655.9,48071.7,2070184.5,288430.2,619969.86,1159923.59999999,0
97882eca22,"1116 Budapest, Temesvár u. 20.",9.0,4322,3672158.0,-13223,5709,1001050.0,760963.0,32965,1073729.0,465596,0,437457.0,0
31e2d6b0b5,"1211 Budapest, Asztalosipari u. 1-3.",18.0,4649,1386460.0,49134,21063,551744.0,48229.0,51504,811376.0,284419,69822,445951.0,0
37f409f22c,"1106 Budapest, Jászberényi út 18-22.",17.0,4677,2149707.0,147881,128835,857997.0,161614.0,531635,976599.0,757053,0,217131.0,0
9bea61fcf4,"2151 Fót, Akácos, East Gate Business Park F2. ép",84.0,7022,1465426.0,-125714,-30759,693562.0,602668.0,73673,704438.0,-637013,797166,425884.0,0
0b0af4ea56,"1121 Budapest, Konkoly-Thege Miklós út 29-33.",205.0,2014,4009026.0,201606,149230,1650936.0,660914.0,246446,2752384.0,1269784,179003,1149959.0,0
fd1db879ea,"1055 Budapest, Stollár Béla u. 12. C. ép.",36.0,9001,1319881.0,327106,319353,1062097.0,540619.0,521478,1226497.0,480827,0,707730.0,0
d3059eb0b7,"1044 Budapest, Megyeri út 64.",188.0,2120|0|5210|7219|4646|4612,3453714.0,492709,487281,1871060.0,521445.0,817933,3268517.0,2624824,31320,470131.0,0
71d5a9db5b,"1152 Budapest, Telek u. 1",15.0,7112,1061434.0,83126,74556,392232.0,214477.0,99373,401733.0,254566,20450,124093.0,0
3142f2098e,"9027 Győr, Hűtőház u. 6.",23.0,4726,1088318.0,34149,31586,79855.0,11087.0,27630,92661.0,44631,0,47246.0,0
e0ff903644,"1087 Budapest, Könyves Kálmán körút 76",179.0,2312,3947929.0,186687,179592,1719493.0,1133458.0,123782,5598384.0,3149911,17655,1094091.0,0
3d40cd0f46,"2241 Sülysáp, Fő u. 87",20.0,2562,1355263.0,73519,65255,713595.0,595033.0,73835,1401467.0,246056,33447,812381.0,0
813c5ad4a6,"2600 Vác, Szent László út 36",58.0,3250,1878077.0,-72474,-86687,1481803.0,389576.0,47424,1620411.0,-69020,60477,382946.0,0
ec89fb88d0,"4150 Püspökladány, Kurucz u. 20.",95.0,4632,1196562.0,40594,33536,204563.0,91688.0,60281,463046.0,308581,18591,135874.0,0
fd77431c4b,"6500 Baja, Budai Nagy Antal utca 36.",15.0,4726,1327889.0,74122,67405,138687.0,27186.0,75466,151106.0,67505,4441,75078.0,0
3e7991b9b1,"6353 Dusnok, Rákóczi u. 5.",44.0,147,1183192.0,529015,481539,963966.0,244051.0,580186,1606576.0,1524887,0,81561.0,0
85a9d4debf,"2040 Budaörs, Gyár u. 2.",1.0,4611,3072246.84,63888.84,53033.9399999999,1627304.57999999,1273744.98,89630.4599999999,1630716.11999999,57065.7599999999,0,1561865.04,0
b169579363,"2151 Fót, Keleti Márton u. 16.",21.0,3299,2297972.0,230468,224101,463788.0,124226.0,277598,509878.0,396213,0,111488.0,0
1f81a8081c,"9700 Szombathely, Szövő u. 85.",147.0,3317|7711,1599981.0,226092,201519,350470.0,167816.0,155494,398741.0,233102,0,162265.0,0
6134fd5b27,"1138 Budapest, Váci út 178.",0.0,6820,2480542.0,1026784,917562,649647.0,380489.0,269158,3627999.0,1088882,1829869,479765.0,0
c938a51e3b,"1097 Budapest, Hentes u. 11.",56.0,4690,2331530.0,362447,340808,1090211.0,551278.0,151819,1321761.0,927362,0,341834.0,0
4257322f8a,"6600 Szentes, Téglagyári út 1.",3.0,4621|0111,2218604.0,11091,8874,144919.0,62880.0,82033,576005.0,343357,41288,126061.0,0
d4a21229e6,"8095 Pákozd, Ipartelepi utca 1.",259.0,2920,4905400.0,-518489,-549662,2880388.0,884102.0,10860,5364046.0,-224630,0,5165240.0,0
b0867339c6,"4300 Nyirbátor, Sóhordó u.92.",42.0,4621,4378718.0,174843,160476,2132967.0,357756.0,19545,2383558.0,1099660,175010,1094121.0,0
1ae3ae7de1,"8132 Lepsény, Vasút út 57.",0.0,4621,1216360.0,50752,44460,302312.0,49078.0,129721,303321.0,114189,0,186509.0,0
6892802a91,"2310 Szigetszentmiklós, Csepeli út 15.",30.0,8110,1137186.0,12940,8928,344581.0,314474.0,10657,409476.0,39646,35953,333527.0,0
8160a514bf,"2360 Gyál, Heltai Jenő út 73.",26.0,4690,2503648.0,71788,58520,491034.0,385620.0,22164,610167.0,248655,14869,315064.0,0
76e94b9de7,"1121 Budapest, Hóvirág út 42",194.0,2611,1037839.0,70456,14595,331041.0,44927.0,1618,1067116.0,311983,26879,547249.0,0
ca7a551918,"2628 Szob, Ady Endre utca 22.",62.0,1107,1746266.0,128664,113597,470379.0,160801.0,6917,1072201.0,698451,32717,340586.0,0
109477fd45,"9400 Sopron, Deák tér 4. I. em. 2",12.0,6619,5294411.0,83728,56236,473302.0,223254.0,90521,481568.0,141482,172913,166012.0,0
09de7ceaa8,"2321 Szigetbecse, Makádi út 155.",47.0,2932,2132717.0,56460,45947,436268.0,191680.0,51926,979501.0,430399,110760,433980.0,0
a25ea63e5a,"1056 Budapest, Váci utca 81.",48.0,7320,1558622.0,157685,148294,641261.0,304395.0,336866,674204.0,536650,0,72926.0,0
93c3c46bb3,"5600 Békéscsaba, Andrássy út 37-43.",18.0,4110,1603848.0,915591,413967,1433323.0,827265.0,606058,18745844.0,10286346,6056164,1116652.0,0
d399d4c26f,"4400 Nyíregyháza, Tűzoltó u. 4.",8.0,4675,2480405.0,53672,48063,544463.0,257649.0,280833,620986.0,424848,0,186017.0,0
35f4136714,"8000 Székesfehérvár, Kadocsa u. 84.",,4773,1849171.0,2414,714,225995.0,45704.0,24387,227796.0,13361,0,163168.0,0
